,accuracy,phone,layer,strat,voicing,articulation,model,language,phone_type
46,0.35714285714285715,ɔ,0,2,other,other,wav2vec-small,hindi,
47,0.6153846153846154,ɔː,0,2,other,other,wav2vec-small,hindi,
48,0.07142857142857142,ɖ,0,2,voiced_unaspirated,retroflex,wav2vec-small,hindi,
49,0.23076923076923078,ɖ̤,0,2,voiced_aspirated,retroflex,wav2vec-small,hindi,
50,0.3076923076923077,ə,0,2,other,other,wav2vec-small,hindi,
51,0.0,ə̃,0,2,other,other,wav2vec-small,hindi,
52,0.1,ɛ,0,2,other,other,wav2vec-small,hindi,
53,0.35714285714285715,ɡ,0,2,voiced_unaspirated,other,wav2vec-small,hindi,
54,0.5384615384615384,ɡ̤,0,2,voiced_aspirated,other,wav2vec-small,hindi,
55,0.2222222222222222,ɣ,0,2,other,other,wav2vec-small,hindi,
56,0.6153846153846154,ɦ,0,2,other,other,wav2vec-small,hindi,
57,0.5714285714285714,ɪ,0,2,other,other,wav2vec-small,hindi,
58,0.7692307692307693,ɲ,0,2,other,other,wav2vec-small,hindi,
59,0.5384615384615384,ɳ,0,2,other,retroflex,wav2vec-small,hindi,
60,0.42857142857142855,ɹ,0,2,other,other,wav2vec-small,hindi,
61,0.42857142857142855,ɹ̩,0,2,other,other,wav2vec-small,hindi,
62,0.46153846153846156,ɽ,0,2,other,retroflex,wav2vec-small,hindi,
63,0.42857142857142855,ɽ̥,0,2,other,retroflex,wav2vec-small,hindi,
64,0.6153846153846154,ʂ,0,2,other,retroflex,wav2vec-small,hindi,
65,0.7142857142857143,ʃ,0,2,other,other,wav2vec-small,hindi,
66,0.23076923076923078,ʈ,0,2,voiceless_unaspirated,retroflex,wav2vec-small,hindi,
67,0.38461538461538464,ʈʰ,0,2,voiceless_aspirated,retroflex,wav2vec-small,hindi,
68,0.0,ʊ,0,2,other,other,wav2vec-small,hindi,
69,0.0,ʌ,0,2,other,other,wav2vec-small,hindi,
70,0.0,θ,0,2,other,other,wav2vec-small,hindi,
71,0.5,ẽ,0,2,other,other,wav2vec-small,hindi,
0,0.8461538461538461,SIL,0,3,other,other,wav2vec-small,hindi,
1,0.7142857142857143,a,0,3,other,other,wav2vec-small,hindi,
2,0.3076923076923077,aː,0,3,other,other,wav2vec-small,hindi,
3,0.38461538461538464,b,0,3,voiced_unaspirated,other,wav2vec-small,hindi,
4,0.21428571428571427,b̤,0,3,voiced_aspirated,other,wav2vec-small,hindi,
5,0.3076923076923077,d,0,3,voiced_unaspirated,dental,wav2vec-small,hindi,
6,0.35714285714285715,d̤,0,3,voiced_aspirated,dental,wav2vec-small,hindi,
7,0.6923076923076923,d͡ʒ,0,3,voiced_unaspirated,other,wav2vec-small,hindi,
8,0.5384615384615384,d͡ʒ̤,0,3,voiced_aspirated,other,wav2vec-small,hindi,
9,0.5,e,0,3,other,other,wav2vec-small,hindi,
10,0.6153846153846154,f,0,3,other,other,wav2vec-small,hindi,
11,0.5,h,0,3,other,other,wav2vec-small,hindi,
12,0.35714285714285715,i,0,3,other,other,wav2vec-small,hindi,
13,0.5384615384615384,iː,0,3,other,other,wav2vec-small,hindi,
14,0.5384615384615384,j,0,3,other,other,wav2vec-small,hindi,
15,0.2857142857142857,k,0,3,voiceless_unaspirated,other,wav2vec-small,hindi,
16,0.23076923076923078,kʰ,0,3,voiceless_aspirated,other,wav2vec-small,hindi,
17,0.7142857142857143,l,0,3,other,dental,wav2vec-small,hindi,
